compound_ids,canonical_smiles,measured_logS,cluster_id,split
Bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,366,validation
Cycloheptane,C1CCCCCC1,-3.51,105,train
Propyl formate,CCCOC=O,-0.49,62,train
2-Isopropyltoluene,Cc1ccccc1C(C)C,-3.76,67,train
m-Chloroaniline,Nc1cccc(Cl)c1,-1.37,16,train
"2,4-Dimethylpentane",CC(C)CC(C)C,-4.26,38,train
Dibenzofurane,c1ccc2c(c1)oc1ccccc12,-4.6,219,train
ethofumesate,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42,365,train
Fluometuron,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43,13,train
Acridine,c1ccc2nc3ccccc3cc2c1,-3.67,49,train
Cortisone,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,6,train
glucose,OCC1OC(O)C(O)C(O)C1O,0.74,70,train
3-Methylphenol,Cc1cccc(O)c1,-0.68,7,train
Indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-3.5860000000000003,364,test
Lovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005,363,validation
"1,4-Dinitrobenzene",O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-3.39,9,train
Reposal,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696,218,test
Ethyl decanoate,CCCCCCCCCC(=O)OCC,-4.1,3,train
Fenuron,CN(C)C(=O)Nc1ccccc1,-1.6,10,train
Ethyl propyl ether,CCCOCC,-0.66,82,train
2-Propanol,CC(C)O,0.43,14,train
2-Methylnapthalene,Cc1ccc2ccccc2c1,-3.77,8,train
Chlorodibromethane,ClC(Br)Br,-1.9,89,train
Hexestrol,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43,116,validation
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,362,train
Benzylchloride,ClCc1ccccc1,-2.39,11,train
t-Crotonaldehyde,C/C=C/C=O,0.32,361,test
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,13,train
"9,10-Dimethylanthracene",Cc1c2ccccc2c(C)c2ccccc12,-6.57,1,train
Methyl hexanoate,CCCCCC(=O)OC,-1.87,3,train
Dimefuron,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-4.328,13,train
p-Fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,-1.78,10,train
alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,113,train
Cyclohexene,C1=CCCCC1,-2.59,123,train
Hydrocortisone ,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09,6,train
Pyrimidine,c1cncnc1,1.1,166,train
p-Chloronitrobenzene,O=[N+]([O-])c1ccc(Cl)cc1,-2.92,9,train
Methyl propionate,CCC(=O)OC,-0.14,22,train
o-Chloronitrobenzene,O=[N+]([O-])c1ccccc1Cl,-2.55,9,train
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,13,train
Buthidazole,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-1.877,360,validation
Nitrobenzene,O=[N+]([O-])c1ccccc1,-1.8,9,train
Iodobenzene,Ic1ccccc1,-3.01,5,train
Metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78,199,train
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,-0.985,359,train
butachlor,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19,113,train
"2,3-Dichlorophenol",Oc1cccc(Cl)c1Cl,-1.3,4,train
Propyl butyrate,CCCC(=O)OC,-1.92,22,train
Propanil,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,81,validation
Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-2.404,358,test
Ethyl hexanoate,CCCCCC(=O)OCC,-2.35,3,train
chloralose,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84,357,validation
Amitraz,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,-5.47,214,test
Prometon,COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478,37,train
1-Octene ,C=CCCCCCC,-4.44,0,train
p-Methylaniline ,Cc1ccc(N)cc1,-1.21,7,train
aminothiazole,Nc1nccs1,-0.36,356,train
Metolcarb,CNC(=O)Oc1ccccc1,-1.803,30,train
3-Hexanol,CCCC(O)CC,-0.8,14,train
9-anthrol,Oc1c2ccccc2cc2ccccc12,-4.73,1,train
2-Methylanthracene,Cc1ccc2cc3ccccc3cc2c1,-6.96,8,train
"1,2,3-Trimethylbenzene ",Cc1cccc(C)c1C,-3.2,24,train
Aminocarb,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,30,train
2-Nonanol,CCCCCCCC(C)O,-2.74,0,train
Methyldymron,CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1,-3.35,355,test
3-Hexanone,CCCC(=O)CC,-0.83,22,train
bromoxynil,N#Cc1cc(Br)c(O)c(Br)c1,-3.33,217,train
"3,4-PCB",Clc1ccc(-c2ccccc2)cc1Cl,-6.39,2,train
Mefenacet,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,-4.873,354,validation
5-hydroxyquinoline,Oc1cccc2ncccc12,-2.54,49,train
Carboxin,CC1=C(C(=O)Nc2ccccc2)SCCO1,-3.14,95,train
Ethoxyzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.81,353,train
Pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,115,train
Bromochloromethane,ClCBr,-0.89,111,train
metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23,157,validation
deoxycorticosterone acetate,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63,6,train
benzylurea,NC(=O)NCc1ccccc1,-0.95,216,validation
Chlortoluron,Cc1ccc(NC(=O)N(C)C)cc1Cl,-3.483,13,train
Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,13,train
Cycloheptanol,OC1CCCCCC1,-0.88,156,train
Thiamphenicol,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-2.154,182,train
thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36,17,train
acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.36,352,test
p-Nitrophenol,O=[N+]([O-])c1ccc(O)cc1,-0.74,9,train
Aldrin,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-6.307,80,train
Tetrahydrofurane ,C1CCOC1,0.49,194,test
o-Nitroaniline,Nc1ccccc1[N+](=O)[O-],-1.96,9,train
"2,2',3,3'-PCB",Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28,4,train
phenylbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.81,141,train
"2,6-Dinitrotoluene",Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-3.0,9,train
Progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,6,train
Chlorazine,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,-4.4110000000000005,155,train
captafol,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,-5.4,351,validation
"1,2,4-tribromobenzene",Brc1ccc(Br)c(Br)c1,-4.5,42,train
Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,-3.952,215,train
Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,-2.356,17,train
Carvacrol,Cc1ccc(C(C)C)cc1O,-2.08,131,train
rhodanine,O=C1CSC(=S)N1,-1.77,350,train
Morin,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.083,349,test
Kepone,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.259,186,test
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,154,train
Cyclohexane,C1CCCCC1,-3.1,105,train
Dienochlor,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.278,348,validation
chlordimeform,Cc1cc(Cl)ccc1N=CN(C)C,-2.86,214,test
Equilenin,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,-5.24,50,train
1-Octanol,CCCCCCCCO,-2.39,0,train
Diethyl sulfide,CCSCC,-1.34,207,validation
"1,2-Dichloroethane",ClCCCl,-1.06,53,train
2-Chloro-2-methylbutane,CCC(C)(C)Cl,-2.51,26,train
1-Chloro-2-bromoethane,ClCCBr,-1.32,114,train
p-Nitroaniline,Nc1ccc([N+](=O)[O-])cc1,-2.37,9,train
Lactose,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,-0.244,70,train
RTI 2,CCN1C(=O)c2cccnc2N(CC)c2ncccc21,-2.86,23,train
Chlorobenzene,Clc1ccccc1,-2.38,5,train
1-Nonene ,C=CCCCCCCC,-5.05,0,train
p-Bromoiodobenzene,Brc1ccc(I)cc1,-4.56,42,train
3-Methyl-3-pentanol,CCC(C)(O)CC,-0.36,26,train
Pentylbenzene,CCCCCc1ccccc1,-4.64,11,train
allantoin,NC(=O)NC1NC(=O)NC1=O,-1.6,347,train
Glafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,-4.571000000000001,346,test
"DDD|P,P'-DDD",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2,15,train
testosterone acetate,CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.184,6,train
1-Chloronapthalene,Clc1cccc2ccccc12,-3.93,1,train
RTI 19,CCN1c2ccccc2C(=O)N(C)c2ccccc21,-4.749,23,train
2-Hexanol,CCCCC(C)O,-0.89,14,train
Propylcyclopentane,CCCC1CCCC1,-4.74,128,train
Etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,-4.735,20,train
"3,4-Dichlorophenol",Oc1ccc(Cl)c(Cl)c1,-1.25,2,train
Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.017000000000001,35,train
Benzoxazole,c1ccc2ocnc2c1,-1.16,345,validation
1-Pentanol,CCCCCO,-0.6,0,train
"N,N-Diethylaniline",CCN(CC)c1ccccc1,-3.03,11,train
"1,3-Difluorobenzene",Fc1cccc(F)c1,-2.0,75,train
3-chloropropionitrile,N#CCCCl,-0.29,213,validation
t-Pentylbenzene,CC(C)(C)Cc1ccccc1,-4.15,11,train
o-Chloroiodobenzene,Clc1ccccc1I,-3.54,4,train
Benzotriazole,c1ccc2[nH]nnc2c1,-0.78,344,train
Carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.8,66,train
"2,6-Dimethylphenol",Cc1cccc(C)c1O,-1.29,24,train
3-Methyl-2-butanol,CC(C)C(C)O,-0.18,79,train
benzhydrol,OC(c1ccccc1)c1ccccc1,-2.55,63,train
Methyl decanoate,CCCCCCCCCC(=O)OC,-4.69,0,train
Dicapthon,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31,47,train
1-Bromo-2-methylpropane,CC(C)CBr,-2.43,153,test
Iodoethane,CCI,-1.6,64,train
Pirimicarb,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95,343,test
1-Bromohexane,CCCCCCBr,-3.81,0,train
2-Methylpentane,CCCC(C)C,-3.74,65,train
Tetrafluthrin,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.321000000000001,35,train
Metolachlor,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73,113,train
nifuroxime,O=[N+]([O-])c1ccc(C=NO)o1,-2.19,212,train
Fluvalinate,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.003,35,train
Amitrole,Nc1nc[nH]n1,0.522,342,validation
Tribromomethane,BrC(Br)Br,-1.91,89,train
Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,341,train
Phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-5.233,211,test
Phenylmethanol,OCc1ccccc1,-0.4,11,train
Coumatetralyl,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,-2.84,340,test
4-Bromophenol,Oc1ccc(Br)cc1,-1.09,7,train
2-Bromopropane,CC(C)Br,-1.59,152,validation
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,-4.74,151,train
"1,3,5-Trinitrobenzene",O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.89,9,train
Nimetazepam,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.796,108,train
Propane,CCC,-1.94,64,train
Minoxidil,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],-1.989,339,validation
1-aminoacridine,Nc1cccc2nc3ccccc3cc12,-4.22,150,train
Benzo(k)fluoranthene,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49,34,train
Dicofol,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-5.666,149,test
Acenapthene,c1cc2c3c(cccc3c1)CC2,-4.63,34,train
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,-4.07,42,train
Methazole,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82,338,train
p-Phenylphenol,Oc1ccc(-c2ccccc2)cc1,-3.48,5,train
pyracarbolid,CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56,10,train
Ethyl vinyl ether,C=COCC,-0.85,210,validation
1-Butyne,C#CCC,-1.24,54,train
4-methoxypteridine,COc1ncnc2nccnc12,-1.11,209,test
3-Methyl-3-heptanol,CCCCC(C)(O)CC,-1.6,26,train
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,-3.27,2,train
3-Ethanoyloxymethylphenytoin,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.47,61,train
"Sparsomycin (3,8mg/ml)",CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981,337,test
3-methylindole,Cc1c[nH]c2ccccc12,-2.42,138,train
2-methoxypteridine,COc1ncc2nccnc2n1,-1.11,148,validation
Dioxacarb,CNC(=O)Oc1ccccc1C1OCCO1,-1.57,30,train
isocarbamid,CC(C)CNC(=O)N1CCNC1=O,-2.15,336,validation
Acetonitrile,CC#N,0.26,335,train
Fenoxycarb,CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,-4.7,147,train
acetyl sulfisoxazole,CC(=O)N(c1onc(C)c1C)S(=O)c1ccc(N)cc1,-3.59,334,test
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.18,333,validation
1-Butanol,CCCCO,0.0,0,train
Siduron,CC1CCCCC1NC(=O)Nc1ccccc1,-4.11,10,train
"1,3,5-Trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,-4.48,19,train
Furfural,O=Cc1ccco1,-0.1,332,train
3-Methylbutan-1-ol,CC(C)CCO,-0.51,38,train
piperonal,O=Cc1ccc2c(c1)OCO2,-1.63,173,test
2-Methylpropene,C=C(C)C,-2.33,112,train
Benzaldehyde,O=Cc1ccccc1,-1.19,48,train
"2,3-Dimethyl-1,3-Butadiene",C=C(C)C(=C)C,-2.4,112,train
Benfuracarb,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,-4.71,66,train
RTI 10,CN1C(=O)c2cccnc2Oc2ccccc21,-3.672,23,train
Fluorene ,c1ccc2c(c1)Cc1ccccc1-2,-5.0,78,train
Methylcyclohexane ,CC1CCCCC1,-3.85,96,train
sulfaguanidine,N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.99,146,test
Methylparaben,COC(=O)c1ccc(O)cc1,-1.827,36,train
2-Methyltetrahydrofurane,CC1CCCO1,0.11,205,train
Santonin,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,-3.09,331,test
Salicin,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85,70,train
1-Iodopropane,CCCI,-2.29,91,train
Ametryn,CCNc1nc(NC(C)C)nc(SC)n1,-3.04,37,train
1-Propanol,CCCO,0.62,21,train
Hydroxyprogesterone-17a,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817,6,train
2-Pentanol,CCCC(C)O,-0.29,14,train
benzoin,O=C(c1ccccc1)C(O)c1ccccc1,-2.85,63,train
"2,4-Dimethylphenol",Cc1ccc(O)c(C)c1,-1.19,7,train
m-Chloronitrobenzene ,O=[N+]([O-])c1cccc(Cl)c1,-2.77,9,train
ampyrone,Cc1c(N)c(=O)n(-c2ccccc2)n1C,-0.624,125,train
"2,2',4,5'-PCB",Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-6.57,2,train
"Hexachloro-1,3-butadiene",ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92,183,validation
Terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0,71,train
3-Methyl-2-pentanol,CCC(C)CCO,-0.71,77,train
2-methylpteridine,Cc1ncc2nccnc2n1,-0.12,72,train
Danazol,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.507000000000001,90,test
1-Iodobutane,CCCCI,-2.96,0,train
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-4.081,204,test
Benzyltrifluoride,FC(F)(F)c1ccccc1,-2.51,109,train
Dihexyl phthalate,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144,20,train
Dibenzothiophene,c1ccc2c(c1)sc1ccccc12,-4.38,208,train
"2,3',4,4'-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-7.8,2,train
"2,2',3,3',4,4'-PCB",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-8.01,4,train
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-3.893,130,train
hydrobenzoin,OC(c1ccccc1)C(O)c1ccccc1,-1.93,63,train
Dimethyl phthalate,COC(=O)c1ccccc1C(=O)OC,-1.66,36,train
Ethyl octanoate,CCCCCCCC(=O)OCC,-3.39,3,train
Diethyldisulfide,CCSSCC,-2.42,207,validation
"1,2-Diethoxyethane ",CCOCCOCC,-0.77,82,train
"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,-5.56,2,train
p-benzidine,Nc1ccc(-c2ccc(N)cc2)cc1,-2.7,51,train
1-Heptene,C=CCCCCC,-3.73,0,train
Ethirimol,CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028,195,train
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,17,train
o-Chloroaniline,Nc1ccccc1Cl,-1.52,4,train
3-Chloroanisole,COc1cccc(Cl)c1,-2.78,16,train
Pebulate,CCCCN(CC)C(=O)SCCC,-3.53,330,validation
Butyl acetate,CCCCOC=O,-1.37,62,train
Prednisolone,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.18,32,train
Bromodichloromethane,ClC(Cl)Br,-1.54,89,train
adrenosterone,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,-3.48,6,train
p-terphenyl,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.11,5,train
p-Hydroxybenzaldehyde ,O=Cc1ccc(O)cc1,-0.96,48,train
Bromomethane,CBr,-0.79,329,train
Perfluidone,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8,174,train
Coumachlor,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O,-5.839,130,train
2-Ethylnaphthalene,CCc1ccc2ccccc2c1,-4.29,8,train
5-methylcytosine,Cc1c[nH]c(=O)nc1N,-1.4580000000000002,133,train
"2,3,4,5,6-PCB",Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,-7.92,5,train
benodanil,O=C(Nc1ccccc1)c1ccccc1I,-4.21,10,train
Riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-3.685,328,test
o-Fluorobromobenzene,Fc1ccccc1Br,-2.7,57,train
"2,4-Dichlorophenol ",Oc1ccc(Cl)cc1Cl,-1.55,2,train
Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,-6.291,35,train
piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.16,327,validation
3-Propanoyloxymethylphenytoin,CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.907,61,train
Cyclopentane ,C1CCCC1,-2.64,105,train
o-Toluidine,Cc1ccccc1N,-2.21,24,train
Estragole,C=CCc1ccc(OC)cc1,-2.92,48,train
karbutilate,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93,33,train
3-Methyl-1-Butene,C=CC(C)C,-2.73,326,train
2-Hydroxypyridine,Oc1ccccn1,1.02,190,test
Ethane,CC,-1.36,325,test
"1,2-Dichlorobenzene",Clc1ccccc1Cl,-3.05,2,train
mercaptobenzothiazole,Sc1nc2ccccc2s1,-3.18,324,validation
"2,2',3,3',4,4',5,5',6,6'-PCB",Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-11.6,19,train
Methoxsalen,COc1c2occc2cc2ccc(=O)oc12,-3.664,198,test
Acetamide,CC(N)=O,1.58,139,train
1-Methylnaphthalene,Cc1cccc2ccccc12,-3.7,1,train
Napropamide,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57,206,test
"3,3-Dimethyl-2-butanol",CC(O)C(C)(C)C,-0.62,79,train
Methyl pentanoate,CCCC(=O)OCC,-1.36,3,train
Menadione,CC1=CC(=O)c2ccccc2C1=O,-3.03,121,train
Phenanthrene,c1ccc2c(c1)ccc1ccccc12,-5.26,1,train
"2,4-Dimethylpyridine",Cc1ccnc(C)c1,0.38,323,train
1-Nonanol,CCCCCCCCCO,-3.01,0,train
Dibromomethane,BrCBr,-1.17,111,train
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59,32,train
"2,6-Dimethylnaphthalene ",Cc1ccc2cc(C)ccc2c1,-4.89,8,train
Butylate,CCSC(=O)N(CC(C)C)CC(C)C,-3.68,322,test
nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22,321,validation
m-Nitroaniline,Nc1cccc([N+](=O)[O-])c1,-2.19,9,train
1-Chlorobutane,CCCCCl,-2.03,0,train
triforine,O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,-4.19,320,train
Fluridone,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,-4.445,319,test
6-aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12,-6.2,1,train
Estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,-3.955,50,train
RTI 17,CCN1c2ccccc2N(C)C(=S)c2cccnc21,-4.706,23,train
"1,2-Propylene oxide",CC1CO1,-0.59,205,train
Nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-3.796,108,train
"1,3-diethylthiourea",CCNC(=S)NCC,-1.46,318,validation
"2,3,5-Trichlorophenol",Oc1cc(Cl)cc(Cl)c1Cl,-2.67,19,train
Propyl propanoate,CCCCC(=O)OC,-1.34,3,train
Aniline ,Nc1ccccc1,-0.41,5,train
"1,5-Dimethlnapthalene",Cc1cccc2c(C)cccc12,-4.678999999999999,24,train
hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.63,134,train
Acenapthylene,C1=Cc2cccc3cccc1c23,-3.96,34,train
Ethyl butyrate,CCCCCOC(=O)CC,-1.28,3,train
Atratone,CCNc1nc(NC(C)C)nc(OC)n1,-2.084,37,train
Benzo(a)pyrene,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.699,1,train
Bromoethane,CCBr,-1.09,44,train
3-Hexyne,CCC#CCC,-1.99,145,train
Digitoxin,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-5.292999999999999,204,test
2-Methyl-1-Butene,C=C(C)CC,-2.73,28,train
8-quinolinol,Oc1cccc2cccnc12,-2.42,49,train
"1,2,3,4-Tetrahydronapthalene",c1ccc2c(c1)CCCC2,-4.37,78,train
phenolphthalein,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-2.9,317,train
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,-5.6,42,train
Ronnel,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72,88,train
methylthiouracil,Cc1cc(=O)[nH]c(=S)[nH]1,-2.436,316,test
Eugenol,C=CCc1ccc(O)c(OC)c1,-1.56,203,validation
5-Allyl-5-isopropylbarbital,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.7080000000000002,17,train
Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,-6.176,1,train
"1,1-Diethoxyethane ",CCOC(C)OCC,-0.43,315,validation
Clomazone,CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338,314,train
2-Butoxyethanol,CCCCOCCO,-0.42,18,train
Quintozene,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82,313,test
Flurochloridone,O=C1C(Cl)C(CCl)CN1c1cccc(C(F)(F)F)c1,-4.047,312,validation
Quinoline,c1ccc2ncccc2c1,-1.3,49,train
methyl gallate,COC(=O)c1cc(O)c(O)c(O)c1,-1.24,36,train
fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-1.8,202,validation
Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1,-2.8310000000000004,311,train
"2,2',3,4,4',5',6-PCB",Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-7.92,2,train
alloxan,O=C1NC(=O)C(=O)C(=O)N1,-1.25,94,train
"1,3-Dichloropropane",ClCCCCl,-1.62,76,test
