compound_ids,canonical_smiles,measured_logS,scaffold,is_acyclic_scaffold,split
Methoxychlor,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,c1ccc(Cc2ccccc2)cc1,False,train
TEFLUBENZURON,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28,O=C(NC(=O)c1ccccc1)Nc1ccccc1,False,train
3-Pentanoyloxymethylphenytoin,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.678,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,False,train
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,c1ccccc1,False,train
Flutriafol,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,c1ccc(C(Cn2cncn2)c2ccccc2)cc1,False,train
triamcinolone diacetate,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,False,train
1-Bromobutane,CCCCBr,-2.37,,True,train
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,-6.98,c1ccccc1,False,train
4-Methyl-2-pentanone,CC(=O)CC(C)C,-0.74,,True,train
cycloate,CCSC(=O)N(CC)C1CCCCC1,-3.4,C1CCCCC1,False,train
4-Chloroanisole,COc1ccc(Cl)cc1,-2.78,c1ccccc1,False,train
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000000000001,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,False,train
Talbutal,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,O=C1CC(=O)NC(=O)N1,False,train
Fenitrothion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04,c1ccccc1,False,train
1-Iodonapthalene,Ic1cccc2ccccc12,-4.55,c1ccc2ccccc2c1,False,train
Ethanethiol,CCS,-0.6,,True,train
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.48,,True,train
Pyrolan,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,c1ccc(-n2cccn2)cc1,False,validation
o-Hydroxybenzamide,NC(=O)c1ccccc1O,-1.82,c1ccccc1,False,train
o-Nitrotoluene,Cc1ccccc1[N+](=O)[O-],-2.33,c1ccccc1,False,train
"5,5-Diisopropylbarbital",CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766,O=C1CC(=O)NC(=O)N1,False,train
2-Ethyltoluene,CCc1ccccc1C,-3.21,c1ccccc1,False,train
1-Chloroheptane,CCCCCCCCl,-4.0,,True,train
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,-2.4,O=C1CC(=O)NC(=O)N1,False,train
Bibenzyl ,c1ccc(CCc2ccccc2)cc1,-4.62,c1ccc(CCc2ccccc2)cc1,False,test
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-1.74,,True,train
RTI 23,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-5.153,O=C1Nc2ccccc2Nc2ncccc21,False,validation
2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,-5.84,c1ccc2c(c1)ccc1ccccc12,False,test
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,c1ccccc1,False,train
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,c1ccccc1,False,train
Dimecron,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523,,True,train
Equilin,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.282,O=C1CCC2C3=CCc4ccccc4C3CCC12,False,test
Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.5760000000000005,O=S(=O)(NNc1ncccn1)c1ccccc1,False,train
p-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,-2.41,c1ccccc1,False,train
1-Chlorohexane,CCCCCCCl,-3.12,,True,train
"2,2',3,3',4,4',5,5'-PCB",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16,c1ccc(-c2ccccc2)cc1,False,train
Raffinose,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41,C1CCC(OCC2CCCC(OC3CCCO3)O2)OC1,False,train
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,,True,train
RTI 5,CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324,O=C1Nc2ccccc2Nc2ncccc21,False,validation
"1,1-Dichloroethane",CC(Cl)Cl,-1.29,,True,train
Sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1,-1.34,c1ccccc1,False,train
Isopropalin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49,c1ccccc1,False,train
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,C1CCCCC1,False,train
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,c1ccccc1,False,train
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,-4.0,c1ccccc1,False,train
Tetrachloromethane,ClC(Cl)(Cl)Cl,-2.31,,True,train
"3,4-Dichloronitrobenzene",O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2,c1ccccc1,False,train
Cyclooctanol,OC1CCCCCCC1,-1.29,C1CCCCCCC1,False,test
17a-Methyltestosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.999,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
Dulcin,CCOc1ccc(NC(N)=O)cc1,-2.17,c1ccccc1,False,train
"trans-1,4-Dimethylcyclohexane",CC1CCC(C)CC1,-4.47,C1CCCCC1,False,train
"1,7-phenantroline",c1cnc2c(c1)ccc1ncccc12,-2.68,c1cnc2c(c1)ccc1ncccc12,False,train
Methyl t-butyl ether ,COC(C)(C)C,-0.24,,True,train
Anethole,CC=Cc1ccc(OC)cc1,-3.13,c1ccccc1,False,train
1-Hexadecanol,CCCCCCCCCCCCCCCCO,-7.0,,True,train
uracil,O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002,O=c1cc[nH]c(=O)[nH]1,False,train
adenine,Nc1ncnc2nc[nH]c12,-2.12,c1ncc2[nH]cnc2n1,False,train
"2,2',3,4,5-PCB",Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,c1ccc(-c2ccccc2)cc1,False,train
Ancymidol,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.596,c1ccc(C(c2cncnc2)C2CC2)cc1,False,test
Benzo(b)fluoranthene,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,False,validation
Carbanilide,O=C(Nc1ccccc1)Nc1ccccc1,-3.15,O=C(Nc1ccccc1)Nc1ccccc1,False,test
phenobarbital|5-Ethyl-5-phenylbarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322,O=C1NC(=O)C(c2ccccc2)C(=O)N1,False,validation
"2',3,4-PCB",Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29,c1ccc(-c2ccccc2)cc1,False,train
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,c1ccccc1,False,train
Azintamide,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,c1ccnnc1,False,validation
"2,2-Dimethyl-1-butanol",CCC(C)(C)CO,-1.04,,True,train
Ethyl pentanoate,CCCOC(=O)CCC,-1.75,,True,train
"2,4,6-Trinitrotoluene",Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22,c1ccccc1,False,train
Bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,c1ccccc1,False,train
Cycloheptane,C1CCCCCC1,-3.51,C1CCCCCC1,False,test
Propyl formate,CCCOC=O,-0.49,,True,train
2-Isopropyltoluene,Cc1ccccc1C(C)C,-3.76,c1ccccc1,False,train
m-Chloroaniline,Nc1cccc(Cl)c1,-1.37,c1ccccc1,False,train
"2,4-Dimethylpentane",CC(C)CC(C)C,-4.26,,True,train
Dibenzofurane,c1ccc2c(c1)oc1ccccc12,-4.6,c1ccc2c(c1)oc1ccccc12,False,test
ethofumesate,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42,c1ccc2c(c1)CCO2,False,validation
Fluometuron,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43,c1ccccc1,False,train
Acridine,c1ccc2nc3ccccc3cc2c1,-3.67,c1ccc2nc3ccccc3cc2c1,False,train
Cortisone,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,O=C1C=C2CCC3C4CCCC4CC(=O)C3C2CC1,False,validation
glucose,OCC1OC(O)C(O)C(O)C1O,0.74,C1CCOCC1,False,validation
3-Methylphenol,Cc1cccc(O)c1,-0.68,c1ccccc1,False,train
Indapamide,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-3.5860000000000003,O=C(NN1CCc2ccccc21)c1ccccc1,False,validation
Lovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005,O=C1CCCC(CCC2CC=CC3=CCCCC32)O1,False,validation
"1,4-Dinitrobenzene",O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-3.39,c1ccccc1,False,train
Reposal,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696,O=C1NC(=O)C(C2=CCC3CCC2C3)C(=O)N1,False,test
Ethyl decanoate,CCCCCCCCCC(=O)OCC,-4.1,,True,train
Fenuron,CN(C)C(=O)Nc1ccccc1,-1.6,c1ccccc1,False,train
Ethyl propyl ether,CCCOCC,-0.66,,True,train
2-Propanol,CC(C)O,0.43,,True,train
2-Methylnapthalene,Cc1ccc2ccccc2c1,-3.77,c1ccc2ccccc2c1,False,train
Chlorodibromethane,ClC(Br)Br,-1.9,,True,train
Hexestrol,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43,c1ccc(CCc2ccccc2)cc1,False,test
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,,True,train
Benzylchloride,ClCc1ccccc1,-2.39,c1ccccc1,False,train
t-Crotonaldehyde,C/C=C/C=O,0.32,,True,train
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,c1ccccc1,False,train
"9,10-Dimethylanthracene",Cc1c2ccccc2c(C)c2ccccc12,-6.57,c1ccc2cc3ccccc3cc2c1,False,train
Methyl hexanoate,CCCCCC(=O)OC,-1.87,,True,train
Dimefuron,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-4.328,O=c1ocnn1-c1ccccc1,False,validation
p-Fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,-1.78,c1ccccc1,False,train
alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,c1ccccc1,False,train
Cyclohexene,C1=CCCCC1,-2.59,C1=CCCCC1,False,validation
Hydrocortisone ,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
Pyrimidine,c1cncnc1,1.1,c1cncnc1,False,validation
p-Chloronitrobenzene,O=[N+]([O-])c1ccc(Cl)cc1,-2.92,c1ccccc1,False,train
Methyl propionate,CCC(=O)OC,-0.14,,True,train
o-Chloronitrobenzene,O=[N+]([O-])c1ccccc1Cl,-2.55,c1ccccc1,False,train
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,c1ccccc1,False,train
Buthidazole,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-1.877,O=C1NCCN1c1nncs1,False,test
Nitrobenzene,O=[N+]([O-])c1ccccc1,-1.8,c1ccccc1,False,train
Iodobenzene,Ic1ccccc1,-3.01,c1ccccc1,False,train
Metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-3.78,O=C1c2ccccc2NCN1c1ccccc1,False,validation
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,-0.985,c1ccccc1,False,train
butachlor,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19,c1ccccc1,False,train
"2,3-Dichlorophenol",Oc1cccc(Cl)c1Cl,-1.3,c1ccccc1,False,train
Propyl butyrate,CCCC(=O)OC,-1.92,,True,train
Propanil,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,c1ccccc1,False,train
Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,-2.404,c1ccc(-c2cnc3ncncc3n2)cc1,False,train
Ethyl hexanoate,CCCCCC(=O)OCC,-2.35,,True,train
chloralose,OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84,C1CC2OCOC2O1,False,train
Amitraz,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,-5.47,C(=Nc1ccccc1)NC=Nc1ccccc1,False,test
Prometon,COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478,c1ncncn1,False,train
1-Octene ,C=CCCCCCC,-4.44,,True,train
p-Methylaniline ,Cc1ccc(N)cc1,-1.21,c1ccccc1,False,train
aminothiazole,Nc1nccs1,-0.36,c1cscn1,False,test
Metolcarb,CNC(=O)Oc1ccccc1,-1.803,c1ccccc1,False,train
3-Hexanol,CCCC(O)CC,-0.8,,True,train
9-anthrol,Oc1c2ccccc2cc2ccccc12,-4.73,c1ccc2cc3ccccc3cc2c1,False,train
2-Methylanthracene,Cc1ccc2cc3ccccc3cc2c1,-6.96,c1ccc2cc3ccccc3cc2c1,False,train
"1,2,3-Trimethylbenzene ",Cc1cccc(C)c1C,-3.2,c1ccccc1,False,train
Aminocarb,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,c1ccccc1,False,train
2-Nonanol,CCCCCCCC(C)O,-2.74,,True,train
Methyldymron,CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1,-3.35,O=C(NCc1ccccc1)Nc1ccccc1,False,train
3-Hexanone,CCCC(=O)CC,-0.83,,True,train
bromoxynil,N#Cc1cc(Br)c(O)c(Br)c1,-3.33,c1ccccc1,False,train
"3,4-PCB",Clc1ccc(-c2ccccc2)cc1Cl,-6.39,c1ccc(-c2ccccc2)cc1,False,train
Mefenacet,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1,-4.873,O=C(COc1nc2ccccc2s1)Nc1ccccc1,False,test
5-hydroxyquinoline,Oc1cccc2ncccc12,-2.54,c1ccc2ncccc2c1,False,test
Carboxin,CC1=C(C(=O)Nc2ccccc2)SCCO1,-3.14,O=C(Nc1ccccc1)C1=COCCS1,False,validation
Ethoxyzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,-3.81,c1ccc2scnc2c1,False,train
Pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,c1ccccc1,False,train
Bromochloromethane,ClCBr,-0.89,,True,train
metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23,O=C1CC(=O)NC(=O)N1,False,train
deoxycorticosterone acetate,CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.63,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
benzylurea,NC(=O)NCc1ccccc1,-0.95,c1ccccc1,False,train
Chlortoluron,Cc1ccc(NC(=O)N(C)C)cc1Cl,-3.483,c1ccccc1,False,train
Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,c1ccccc1,False,train
Cycloheptanol,OC1CCCCCC1,-0.88,C1CCCCCC1,False,test
Thiamphenicol,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,-2.154,c1ccccc1,False,train
thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36,O=C1CC(=O)NC(=S)N1,False,train
acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-2.36,c1nncs1,False,test
p-Nitrophenol,O=[N+]([O-])c1ccc(O)cc1,-0.74,c1ccccc1,False,train
Aldrin,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-6.307,C1=CC2CC1C1C3C=CC(C3)C21,False,test
Tetrahydrofurane ,C1CCOC1,0.49,C1CCOC1,False,train
o-Nitroaniline,Nc1ccccc1[N+](=O)[O-],-1.96,c1ccccc1,False,train
"2,2',3,3'-PCB",Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl,-7.28,c1ccc(-c2ccccc2)cc1,False,train
phenylbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.81,O=C1CC(=O)N(c2ccccc2)N1c1ccccc1,False,train
"2,6-Dinitrotoluene",Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-3.0,c1ccccc1,False,train
Progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
Chlorazine,CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,-4.4110000000000005,c1ncncn1,False,train
captafol,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,-5.4,O=C1NC(=O)C2CC=CCC12,False,validation
"1,2,4-tribromobenzene",Brc1ccc(Br)c(Br)c1,-4.5,c1ccccc1,False,train
Oxazepam,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,-3.952,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,train
Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,-2.356,O=C1CC(=O)NC(=O)N1,False,train
Carvacrol,Cc1ccc(C(C)C)cc1O,-2.08,c1ccccc1,False,train
rhodanine,O=C1CSC(=S)N1,-1.77,O=C1CSC(=S)N1,False,test
Morin,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.083,O=c1cc(-c2ccccc2)oc2ccccc12,False,train
Kepone,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,-5.259,O=C1C2C3C4CC5C3C1C5C42,False,test
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,,True,train
Cyclohexane,C1CCCCC1,-3.1,C1CCCCC1,False,train
Dienochlor,ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,-7.278,C1=CC(C2C=CC=C2)C=C1,False,train
chlordimeform,Cc1cc(Cl)ccc1N=CN(C)C,-2.86,c1ccccc1,False,train
Equilenin,CC12CCc3c(ccc4cc(O)ccc34)C1CCC2=O,-5.24,O=C1CCC2c3ccc4ccccc4c3CCC12,False,train
1-Octanol,CCCCCCCCO,-2.39,,True,train
Diethyl sulfide,CCSCC,-1.34,,True,train
"1,2-Dichloroethane",ClCCCl,-1.06,,True,train
2-Chloro-2-methylbutane,CCC(C)(C)Cl,-2.51,,True,train
1-Chloro-2-bromoethane,ClCCBr,-1.32,,True,train
p-Nitroaniline,Nc1ccc([N+](=O)[O-])cc1,-2.37,c1ccccc1,False,train
Lactose,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,-0.244,C1CCC(OC2CCCOC2)OC1,False,test
RTI 2,CCN1C(=O)c2cccnc2N(CC)c2ncccc21,-2.86,O=C1Nc2cccnc2Nc2ncccc21,False,train
Chlorobenzene,Clc1ccccc1,-2.38,c1ccccc1,False,train
1-Nonene ,C=CCCCCCCC,-5.05,,True,train
p-Bromoiodobenzene,Brc1ccc(I)cc1,-4.56,c1ccccc1,False,train
3-Methyl-3-pentanol,CCC(C)(O)CC,-0.36,,True,train
Pentylbenzene,CCCCCc1ccccc1,-4.64,c1ccccc1,False,train
allantoin,NC(=O)NC1NC(=O)NC1=O,-1.6,O=C1CNC(=O)N1,False,train
Glafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,-4.571000000000001,c1ccc(Nc2ccnc3ccccc23)cc1,False,test
"DDD|P,P'-DDD",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,-7.2,c1ccc(Cc2ccccc2)cc1,False,train
testosterone acetate,CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.184,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,train
1-Chloronapthalene,Clc1cccc2ccccc12,-3.93,c1ccc2ccccc2c1,False,train
RTI 19,CCN1c2ccccc2C(=O)N(C)c2ccccc21,-4.749,O=C1Nc2ccccc2Nc2ccccc21,False,train
2-Hexanol,CCCCC(C)O,-0.89,,True,train
Propylcyclopentane,CCCC1CCCC1,-4.74,C1CCCC1,False,train
Etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1,-4.735,c1ccc(Cn2ccnc2)cc1,False,validation
"3,4-Dichlorophenol",Oc1ccc(Cl)c(Cl)c1,-1.25,c1ccccc1,False,train
Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.017000000000001,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,False,train
Benzoxazole,c1ccc2ocnc2c1,-1.16,c1ccc2ocnc2c1,False,validation
1-Pentanol,CCCCCO,-0.6,,True,train
"N,N-Diethylaniline",CCN(CC)c1ccccc1,-3.03,c1ccccc1,False,train
"1,3-Difluorobenzene",Fc1cccc(F)c1,-2.0,c1ccccc1,False,train
3-chloropropionitrile,N#CCCCl,-0.29,,True,train
t-Pentylbenzene,CC(C)(C)Cc1ccccc1,-4.15,c1ccccc1,False,train
o-Chloroiodobenzene,Clc1ccccc1I,-3.54,c1ccccc1,False,train
Benzotriazole,c1ccc2[nH]nnc2c1,-0.78,c1ccc2[nH]nnc2c1,False,train
Carbofuran,CNC(=O)Oc1cccc2c1OC(C)(C)C2,-2.8,c1ccc2c(c1)CCO2,False,validation
"2,6-Dimethylphenol",Cc1cccc(C)c1O,-1.29,c1ccccc1,False,train
3-Methyl-2-butanol,CC(C)C(C)O,-0.18,,True,train
benzhydrol,OC(c1ccccc1)c1ccccc1,-2.55,c1ccc(Cc2ccccc2)cc1,False,train
Methyl decanoate,CCCCCCCCCC(=O)OC,-4.69,,True,train
Dicapthon,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl,-4.31,c1ccccc1,False,train
1-Bromo-2-methylpropane,CC(C)CBr,-2.43,,True,train
Iodoethane,CCI,-1.6,,True,train
Pirimicarb,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95,c1cncnc1,False,validation
1-Bromohexane,CCCCCCBr,-3.81,,True,train
2-Methylpentane,CCCC(C)C,-3.74,,True,train
Tetrafluthrin,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.321000000000001,O=C(OCc1ccccc1)C1CC1,False,test
Metolachlor,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73,c1ccccc1,False,train
nifuroxime,O=[N+]([O-])c1ccc(C=NO)o1,-2.19,c1ccoc1,False,validation
Fluvalinate,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.003,O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,False,validation
Amitrole,Nc1nc[nH]n1,0.522,c1nc[nH]n1,False,test
Tribromomethane,BrC(Br)Br,-1.91,,True,train
Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,,True,train
Phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,-5.233,O=c1[nH]c2ccccc2o1,False,train
Phenylmethanol,OCc1ccccc1,-0.4,c1ccccc1,False,train
Coumatetralyl,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,-2.84,O=c1oc2ccccc2cc1C1CCCc2ccccc21,False,validation
4-Bromophenol,Oc1ccc(Br)cc1,-1.09,c1ccccc1,False,train
2-Bromopropane,CC(C)Br,-1.59,,True,train
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,-4.74,,True,train
"1,3,5-Trinitrobenzene",O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-2.89,c1ccccc1,False,train
Nimetazepam,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.796,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,train
Propane,CCC,-1.94,,True,train
Minoxidil,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],-1.989,c1cc(N2CCCCC2)nc[nH+]1,False,test
1-aminoacridine,Nc1cccc2nc3ccccc3cc12,-4.22,c1ccc2nc3ccccc3cc2c1,False,train
Benzo(k)fluoranthene,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,False,train
Dicofol,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-5.666,c1ccc(Cc2ccccc2)cc1,False,train
Acenapthene,c1cc2c3c(cccc3c1)CC2,-4.63,c1cc2c3c(cccc3c1)CC2,False,train
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,-4.07,c1ccccc1,False,train
Methazole,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82,O=c1[nH]c(=O)n(-c2ccccc2)o1,False,test
p-Phenylphenol,Oc1ccc(-c2ccccc2)cc1,-3.48,c1ccc(-c2ccccc2)cc1,False,train
pyracarbolid,CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56,O=C(Nc1ccccc1)C1=COCCC1,False,train
Ethyl vinyl ether,C=COCC,-0.85,,True,train
1-Butyne,C#CCC,-1.24,,True,train
4-methoxypteridine,COc1ncnc2nccnc12,-1.11,c1cnc2ncncc2n1,False,train
3-Methyl-3-heptanol,CCCCC(C)(O)CC,-1.6,,True,train
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,-3.27,c1ccccc1,False,train
3-Ethanoyloxymethylphenytoin,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.47,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,False,train
"Sparsomycin (3,8mg/ml)",CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981,O=c1cc[nH]c(=O)[nH]1,False,train
3-methylindole,Cc1c[nH]c2ccccc12,-2.42,c1ccc2[nH]ccc2c1,False,train
2-methoxypteridine,COc1ncc2nccnc2n1,-1.11,c1cnc2ncncc2n1,False,train
Dioxacarb,CNC(=O)Oc1ccccc1C1OCCO1,-1.57,c1ccc(C2OCCO2)cc1,False,train
isocarbamid,CC(C)CNC(=O)N1CCNC1=O,-2.15,O=C1NCCN1,False,train
Acetonitrile,CC#N,0.26,,True,train
