compound_ids,canonical_smiles,measured_logS,replicate_n,replicate_std,replicate_range,curation_action,desc_mol_weight,desc_logp,desc_tpsa,desc_hbd,desc_hba,desc_rotatable_bonds,desc_ring_count,desc_aromatic_ring_count,desc_heavy_atom_count,desc_fraction_csp3
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,1,,0.0,unique_keep,413.0,4.494100000000002,27.69,0,4,4,1,1,16,0.25
4-Chlorotoluene,Cc1ccc(Cl)cc1,-3.08,1,,0.0,unique_keep,126.586,2.6484200000000007,0.0,0,0,0,1,1,8,0.14285714285714285
Metribuzin,CSc1nnc(C(C)(C)C)c(=O)n1N,-2.253,1,,0.0,unique_keep,214.29399999999998,0.37150000000000005,73.8,1,5,1,1,1,14,0.625
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,1,,0.0,unique_keep,368.3690000000001,6.256760000000005,44.760000000000005,0,4,6,3,3,26,0.14285714285714285
Caproaldehyde,CCCCCC=O,-1.3,1,,0.0,unique_keep,100.16099999999999,1.7656,17.07,0,1,4,0,0,7,0.8333333333333334
Butamben,CCCCOC(=O)c1ccc(N)cc1,-3.082,1,,0.0,unique_keep,193.24599999999998,2.2257,52.32,1,3,4,1,1,14,0.36363636363636365
RTI 3,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,1,,0.0,unique_keep,255.277,2.35452,68.45,1,4,0,3,2,19,0.14285714285714285
Nerol,CC(C)=CCC/C(C)=C\CO,-2.46,1,,0.0,unique_keep,154.253,2.6714000000000016,20.23,1,1,4,0,0,11,0.6
"2,4'-PCB",Clc1ccc(-c2ccccc2Cl)cc1,-5.28,1,,0.0,unique_keep,223.102,4.660400000000002,0.0,0,0,1,2,2,14,0.0
3-Octanoyloxymethylphenytoin,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523,1,,0.0,unique_keep,408.4980000000001,4.343200000000004,75.71000000000001,1,4,10,3,2,30,0.375
Nitroethane,CC[N+](=O)[O-],-0.22,1,,0.0,unique_keep,75.067,0.2829999999999999,43.14,0,2,1,0,0,5,1.0
Ethalfluralin,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,1,,0.0,unique_keep,333.266,3.9242000000000035,89.52,0,5,6,1,1,23,0.38461538461538464
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.57,1,,0.0,unique_keep,215.894,4.3002,0.0,0,0,0,1,1,10,0.0
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,-1.807,1,,0.0,unique_keep,218.25299999999996,0.9834000000000005,104.63999999999999,2,4,6,0,0,15,0.7777777777777778
pregnenolone,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,1,,0.0,unique_keep,316.48500000000007,4.515300000000004,37.3,1,2,1,4,0,23,0.8571428571428571
Iodomethane,CI,-1.0,1,,0.0,unique_keep,141.939,1.0512000000000001,0.0,0,0,0,0,0,2,1.0
cycloheximide,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13,1,,0.0,unique_keep,281.35200000000003,1.0415,83.47,2,4,3,2,0,20,0.8
3-Heptanoyloxymethylphenytoin,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.301,1,,0.0,unique_keep,394.4710000000001,3.9531000000000027,75.71000000000001,1,4,9,3,2,29,0.34782608695652173
isophorone,CC1=CC(=O)CC(C)(C)C1,-1.06,1,,0.0,unique_keep,138.20999999999998,2.3218000000000005,17.07,0,1,0,1,0,10,0.6666666666666666
Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.39,1,,0.0,unique_keep,212.249,0.7948999999999999,75.27000000000001,2,3,3,1,0,15,0.7
5-Nonanone,CCCCC(=O)CCCC,-2.58,1,,0.0,unique_keep,142.242,2.935900000000001,17.07,0,1,6,0,0,10,0.8888888888888888
Glutethimide,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.337,1,,0.0,unique_keep,217.26799999999992,1.771,46.17,1,2,2,2,1,16,0.38461538461538464
3-Methylpentane,CCC(C)CC,-3.68,1,,0.0,unique_keep,86.178,2.442500000000001,0.0,0,0,2,0,0,6,1.0
Etofenprox,CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1,-8.6,1,,0.0,unique_keep,376.49600000000004,6.372000000000006,27.69,0,3,9,3,3,28,0.28
Methaqualone,Cc1ccccc1-n1c(C)nc2ccccc2c1=O,-2.925,1,,0.0,unique_keep,250.30100000000002,3.0025400000000015,34.89,0,2,1,3,3,19,0.125
Chloroacetonitrile,N#CCCl,-0.092,1,,0.0,unique_keep,75.49799999999999,0.74878,23.79,0,1,0,0,0,4,0.5
Trichloronate,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001,1,,0.0,unique_keep,333.60400000000004,5.391500000000002,18.46,0,3,5,1,1,17,0.4
Ethisterone,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66,1,,0.0,unique_keep,312.4530000000001,3.8826000000000036,37.3,1,2,0,4,0,23,0.7619047619047619
Pyridazine,c1ccnnc1,1.1,1,,0.0,unique_keep,80.08999999999999,0.4765999999999999,25.78,0,2,0,1,1,6,0.0
"1,2,3,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,1,,0.0,unique_keep,215.894,4.3002,0.0,0,0,0,1,1,10,0.0
Diosgenin,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,1,,0.0,unique_keep,414.6300000000003,5.508800000000006,38.69,1,3,0,6,0,30,0.9259259259259259
o-Aminophenol,Nc1ccccc1O,-0.72,1,,0.0,unique_keep,109.12799999999999,0.9743999999999999,46.25,2,2,0,1,1,8,0.0
Ethyl nonanoate,CCCCCCCCC(=O)OCC,-3.8,1,,0.0,unique_keep,186.295,3.3001000000000023,26.3,0,2,8,0,0,13,0.9090909090909091
metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601,1,,0.0,unique_keep,279.336,1.8443400000000003,55.84,0,4,5,1,1,20,0.4666666666666667
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,-2.05,1,,0.0,unique_keep,209.24499999999998,2.192,47.56,1,3,3,1,1,15,0.36363636363636365
2-Chlorobutane,CCC(C)Cl,-1.96,1,,0.0,unique_keep,92.569,2.0237,0.0,0,0,1,0,0,5,1.0
2-Napthol,Oc1ccc2ccccc2c1,-2.28,1,,0.0,unique_keep,144.17299999999997,2.5454,20.23,1,1,0,2,2,11,0.0
Oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.696000000000001,1,,0.0,unique_keep,345.226,4.217000000000004,57.26,0,4,3,2,2,22,0.4666666666666667
1-Hexyne ,C#CCCCC,-2.36,1,,0.0,unique_keep,82.146,1.8098,0.0,0,0,2,0,0,6,0.6666666666666666
1-Nonyne ,C#CCCCCCCC,-4.24,1,,0.0,unique_keep,124.227,2.980100000000001,0.0,0,0,5,0,0,9,0.7777777777777778
2-Chlorotoluene,Cc1ccccc1Cl,-3.52,1,,0.0,unique_keep,126.586,2.6484200000000007,0.0,0,0,0,1,1,8,0.14285714285714285
Diisopropyl ether ,CC(C)OC(C)C,-1.1,1,,0.0,unique_keep,102.17699999999999,1.8197999999999999,9.23,0,1,2,0,0,7,1.0
Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,1,,0.0,unique_keep,248.30700000000002,1.6838000000000002,86.18,2,4,2,2,2,17,0.0
Methyl hydrazine,CNN,1.34,1,,0.0,unique_keep,46.073,-0.9205000000000001,38.05,2,2,0,0,0,3,1.0
Propyne,C#CC,-0.41,1,,0.0,unique_keep,40.065,0.6395,0.0,0,0,0,0,0,3,0.3333333333333333
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,1,,0.0,unique_keep,298.304,3.2283800000000014,63.839999999999996,0,6,7,1,1,19,0.3333333333333333
Propetamphos,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,1,,0.0,unique_keep,281.314,2.3388,56.790000000000006,1,5,7,0,0,17,0.7
Acrolein,C=CC=O,0.57,1,,0.0,unique_keep,56.064,0.37129999999999996,17.07,0,1,1,0,0,4,0.0
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12,-2.296,1,,0.0,unique_keep,136.114,-0.35380000000000006,74.43,2,3,0,2,2,10,0.0
6-hydroxyquinoline,Oc1ccc2ncccc2c1,-2.16,1,,0.0,unique_keep,145.161,1.9403999999999997,33.120000000000005,1,2,0,2,2,11,0.0
Fluorobenzene,Fc1ccccc1,-1.8,1,,0.0,unique_keep,96.10399999999998,1.8256999999999999,0.0,0,0,0,1,1,7,0.0
1-Chloropropane,CCCCl,-1.47,1,,0.0,unique_keep,78.542,1.6352,0.0,0,0,1,0,0,4,1.0
Ethyl acetate,CCOC(C)=O,-0.04,1,,0.0,unique_keep,88.106,0.5694,26.3,0,2,1,0,0,6,0.75
"2,2-Dimethylpentane",CCCC(C)(C)C,-4.36,1,,0.0,unique_keep,100.20499999999998,2.832600000000001,0.0,0,0,1,0,0,7,1.0
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,-4.0,1,,0.0,unique_keep,148.249,3.2287000000000017,0.0,0,0,0,1,1,11,0.45454545454545453
"eucalyptol|1,8-Cineole",CC12CCC(CC1)C(C)(C)O2,-1.69,2,0.0707106781186548,0.1,duplicate_aggregated,154.253,2.7441000000000013,9.23,0,1,0,3,0,11,1.0
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,1,,0.0,unique_keep,314.46600000000007,4.7938000000000045,52.60000000000001,0,4,15,0,0,22,0.8888888888888888
"4,4'-PCB",Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,1,,0.0,unique_keep,223.102,4.660400000000002,0.0,0,0,1,2,2,14,0.0
"2,3-Dimethylpyridine",Cc1cccnc1C,0.38,1,,0.0,unique_keep,107.156,1.69844,12.89,0,1,0,1,1,8,0.2857142857142857
Carvone,C=C(C)C1CC=C(C)C(=O)C1,-2.06,1,,0.0,unique_keep,150.22099999999998,2.4879000000000007,17.07,0,1,1,1,0,11,0.5
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,1,,0.0,unique_keep,342.875,5.420300000000004,18.46,0,5,8,1,1,18,0.45454545454545453
"Etoposide (148-167,25mg/ml)",COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,1,,0.0,unique_keep,588.5620000000004,1.3385999999999993,160.83,3,13,5,7,2,42,0.5517241379310345
Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,1,,0.0,unique_keep,252.31599999999997,5.737200000000003,0.0,0,0,0,5,5,20,0.0
"2,4-Dinitrotoluene",Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,1,,0.0,unique_keep,182.135,1.81142,86.28,0,4,2,1,1,13,0.14285714285714285
2-bromonaphthalene|2-Bromonapthalene,Brc1ccc2ccccc2c1,-4.4,2,0.0,0.0,duplicate_aggregated,207.07,3.6023000000000014,0.0,0,0,0,2,2,11,0.0
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,1,,0.0,unique_keep,221.26,1.6262,53.93,1,3,3,1,1,16,0.2727272727272727
6-methoxypteridine,COc1cnc2ncncc2n1,-1.139,1,,0.0,unique_keep,162.15200000000002,0.42839999999999984,60.790000000000006,0,5,1,2,2,12,0.14285714285714285
nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,1,,0.0,unique_keep,266.30400000000003,2.6512200000000004,58.120000000000005,1,4,1,4,2,20,0.26666666666666666
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658,1,,0.0,unique_keep,313.747,3.1887000000000016,58.4,0,6,7,1,1,18,0.7777777777777778
"2-Methyl-1,3-Butadiene ",C=CC(=C)C,-2.03,1,,0.0,unique_keep,68.119,1.7485,0.0,0,0,1,0,0,5,0.2
linalool,C=CC(C)(O)CCC=C(C)C,-1.99,1,,0.0,unique_keep,154.253,2.6698000000000013,20.23,1,1,4,0,0,11,0.6
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,1,,0.0,unique_keep,278.335,3.6130200000000023,27.69,0,5,5,1,1,16,0.4
Cyclohexanol ,OC1CCCCC1,-0.44,1,,0.0,unique_keep,100.161,1.3114,20.23,1,1,0,1,0,7,1.0
5-Allyl-5-methylbarbital,C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,1,,0.0,unique_keep,182.17899999999997,-0.06520000000000004,75.27000000000001,2,3,2,1,0,13,0.375
Epiandrosterone|Androsterone,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.281000000000001,2,0.1711198410471445,0.242,duplicate_aggregated,290.447,3.959100000000003,37.3,1,2,0,4,0,21,0.9473684210526315
4-Methylbiphenyl,Cc1ccc(-c2ccccc2)cc1,-4.62,1,,0.0,unique_keep,168.239,3.662020000000002,0.0,0,0,1,2,2,13,0.07692307692307693
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,1,,0.0,unique_keep,215.68800000000002,1.7770999999999997,62.730000000000004,2,5,4,1,1,14,0.625
Phenylthiourea,NC(=S)Nc1ccccc1,-1.77,1,,0.0,unique_keep,152.22199999999998,1.3421,38.05,2,1,1,1,1,10,0.0
4-Heptanone,CCCC(=O)CCC,-1.3,1,,0.0,unique_keep,114.18799999999999,2.1557000000000004,17.07,0,1,4,0,0,8,0.8571428571428571
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,-0.72,1,,0.0,unique_keep,100.16099999999999,1.6215,17.07,0,1,0,0,0,7,0.8333333333333334
4-Chlorophenol ,Oc1ccc(Cl)cc1,-0.7,1,,0.0,unique_keep,128.558,2.0456,20.23,1,1,0,1,1,8,0.0
Cyclohexanone,O=C1CCCCC1,-0.6,1,,0.0,unique_keep,98.14500000000001,1.5196,17.07,0,1,0,1,0,7,0.8333333333333334
m-Methylaniline,Cc1cccc(N)c1,-0.85,1,,0.0,unique_keep,107.156,1.5772199999999998,26.02,1,1,0,1,1,8,0.14285714285714285
Trichloroacetonitrile,N#CC(Cl)(Cl)Cl,-2.168,1,,0.0,unique_keep,144.388,1.88018,23.79,0,1,0,0,0,6,0.5
norflurazon,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046,1,,0.0,unique_keep,303.67100000000005,2.9464000000000006,46.92,1,3,2,2,2,20,0.16666666666666666
2-Decanone,CCCCCCCCC(C)=O,-3.3,1,,0.0,unique_keep,156.269,3.3260000000000023,17.07,0,1,7,0,0,11,0.9
Ipazine,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,1,,0.0,unique_keep,243.74200000000002,2.1914999999999996,53.940000000000005,1,5,5,1,1,16,0.7
Benzocaine,CCOC(=O)c1ccc(N)cc1,-2.616,1,,0.0,unique_keep,165.19199999999998,1.4455,52.32,1,3,2,1,1,12,0.2222222222222222
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,-3.59,1,,0.0,unique_keep,181.449,3.6468000000000007,0.0,0,0,0,1,1,9,0.0
Triazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.09,1,,0.0,unique_keep,343.21700000000004,4.233520000000002,43.07,0,3,1,4,3,23,0.11764705882352941
"1,2-Benzenediol",Oc1ccccc1O,0.62,1,,0.0,unique_keep,110.11199999999998,1.0977999999999999,40.46,2,2,0,1,1,8,0.0
Reverse Transcriptase inhibitor 1,CCN1c2ncccc2C(=O)N(C)c2cccnc21,-2.62,1,,0.0,unique_keep,254.29299999999998,2.2245999999999997,49.330000000000005,0,4,1,3,2,19,0.21428571428571427
Dimethyl sulfide,CSC,-0.45,1,,0.0,unique_keep,62.137,0.9792,0.0,0,1,0,0,0,3,1.0
2-Bromotoluene,Cc1ccccc1Br,-2.23,1,,0.0,unique_keep,171.03699999999998,2.7575200000000013,0.0,0,0,0,1,1,8,0.14285714285714285
O-Ethyl carbamate,CCOC(N)=O,0.85,1,,0.0,unique_keep,89.09400000000001,0.10160000000000025,52.32,1,2,1,0,0,6,0.6666666666666666
megestrol acetate,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,1,,0.0,unique_keep,384.51600000000025,4.575300000000005,60.440000000000005,0,4,2,4,0,28,0.7083333333333334
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,-1.22,1,,0.0,unique_keep,116.20399999999998,1.6593,20.23,1,1,2,0,0,8,1.0
Napthalene,c1ccc2ccccc2c1,-3.6,1,,0.0,unique_keep,128.17399999999995,2.839800000000001,0.0,0,0,0,2,2,10,0.0
N-Ethylaniline,CCNc1ccccc1,-1.7,1,,0.0,unique_keep,121.18299999999995,2.1184,12.03,1,1,2,1,1,9,0.25
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.097,1,,0.0,unique_keep,252.27300000000002,1.7696,58.2,2,2,2,3,2,19,0.06666666666666667
"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02,1,,0.0,unique_keep,256.348,5.763040000000005,0.0,0,0,0,4,4,20,0.1
Dialifor|Dialifos,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,2,0.0,0.0,duplicate_aggregated,393.85400000000016,3.878200000000003,55.84,0,6,8,2,1,23,0.42857142857142855
Methoxychlor,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,1,,0.0,unique_keep,345.653,5.205900000000003,18.46,0,2,4,2,2,21,0.25
TEFLUBENZURON,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28,1,,0.0,unique_keep,381.1120000000001,4.5117,58.2,2,2,2,2,2,24,0.0
3-Pentanoyloxymethylphenytoin,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.678,1,,0.0,unique_keep,366.4170000000001,3.172900000000002,75.71000000000001,1,4,7,3,2,27,0.2857142857142857
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,1,,0.0,unique_keep,198.653,2.4335000000000004,32.34,1,1,1,1,1,13,0.2222222222222222
Flutriafol,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,1,,0.0,unique_keep,301.296,2.492400000000001,50.94,1,3,4,3,3,22,0.125
triamcinolone diacetate,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,1,,0.0,unique_keep,478.5130000000003,1.7620999999999991,127.2,2,8,4,4,0,34,0.68
1-Bromobutane,CCCCBr,-2.37,1,,0.0,unique_keep,137.01999999999998,2.1814,0.0,0,0,2,0,0,5,1.0
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,-6.98,1,,0.0,unique_keep,393.69800000000004,4.7366,0.0,0,0,0,1,1,10,0.0
4-Methyl-2-pentanone,CC(=O)CC(C)C,-0.74,1,,0.0,unique_keep,100.16099999999999,1.6215,17.07,0,1,2,0,0,7,0.8333333333333334
cycloate,CCSC(=O)N(CC)C1CCCCC1,-3.4,1,,0.0,unique_keep,215.36199999999994,3.5141000000000027,20.310000000000002,0,2,3,1,0,14,0.9090909090909091
4-Chloroanisole,COc1ccc(Cl)cc1,-2.78,1,,0.0,unique_keep,142.585,2.3486000000000002,9.23,0,1,1,1,1,9,0.14285714285714285
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000000000001,1,,0.0,unique_keep,505.20600000000024,6.490180000000005,59.32000000000001,0,4,6,3,2,28,0.2727272727272727
Talbutal,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,1,,0.0,unique_keep,224.26,0.9609999999999999,75.27000000000001,2,3,4,1,0,16,0.5454545454545454
Fenitrothion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04,1,,0.0,unique_keep,277.238,2.7993200000000007,70.83,0,6,5,1,1,17,0.3333333333333333
1-Iodonapthalene,Ic1cccc2ccccc12,-4.55,1,,0.0,unique_keep,254.07000000000002,3.4444000000000017,0.0,0,0,0,2,2,11,0.0
Ethanethiol,CCS,-0.6,1,,0.0,unique_keep,62.137,0.9360999999999999,0.0,1,1,0,0,0,3,1.0
"1,1,2-Trichloroethane",ClCC(Cl)Cl,-1.48,1,,0.0,unique_keep,133.405,2.0289,0.0,0,0,1,0,0,5,1.0
Pyrolan,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,1,,0.0,unique_keep,245.28200000000004,2.2411199999999996,47.36,0,3,2,2,2,18,0.23076923076923078
o-Hydroxybenzamide,NC(=O)c1ccccc1O,-1.82,1,,0.0,unique_keep,137.13799999999998,0.49110000000000004,63.32000000000001,2,2,1,1,1,10,0.0
o-Nitrotoluene,Cc1ccccc1[N+](=O)[O-],-2.33,1,,0.0,unique_keep,137.138,1.9032200000000001,43.14,0,2,1,1,1,10,0.14285714285714285
"5,5-Diisopropylbarbital",CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766,1,,0.0,unique_keep,212.24899999999997,0.6507999999999999,75.27000000000001,2,3,2,1,0,15,0.7
2-Ethyltoluene,CCc1ccccc1C,-3.21,1,,0.0,unique_keep,120.19499999999996,2.5574200000000005,0.0,0,0,1,1,1,9,0.3333333333333333
1-Chloroheptane,CCCCCCCCl,-4.0,1,,0.0,unique_keep,134.65,3.1956000000000016,0.0,0,0,5,0,0,8,1.0
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,-2.4,1,,0.0,unique_keep,184.195,0.15879999999999994,75.27000000000001,2,3,2,1,0,13,0.625
Bibenzyl ,c1ccc(CCc2ccccc2)cc1,-4.62,1,,0.0,unique_keep,182.26600000000002,3.4718000000000018,0.0,0,0,3,2,2,14,0.14285714285714285
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,-1.74,1,,0.0,unique_keep,167.85,2.5938,0.0,0,0,1,0,0,6,1.0
RTI 23,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-5.153,1,,0.0,unique_keep,283.331,3.122320000000001,54.46,1,4,2,3,2,21,0.25
2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,-5.84,1,,0.0,unique_keep,192.261,4.301420000000003,0.0,0,0,0,3,3,15,0.06666666666666667
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,1,,0.0,unique_keep,278.348,3.600400000000003,52.60000000000001,0,4,8,1,1,20,0.5
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,1,,0.0,unique_keep,261.919,4.014400000000001,29.46,1,2,1,1,1,13,0.14285714285714285
Dimecron,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523,1,,0.0,unique_keep,299.69100000000003,2.3950000000000005,65.07000000000001,0,5,8,0,0,18,0.7
Equilin,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.282,1,,0.0,unique_keep,268.356,3.7375000000000025,37.3,1,2,0,4,1,20,0.5
Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.5760000000000005,1,,0.0,unique_keep,414.82700000000017,1.1715999999999998,127.79,1,8,8,2,2,27,0.2
p-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,-2.41,1,,0.0,unique_keep,153.137,1.6033999999999997,52.370000000000005,0,3,2,1,1,11,0.14285714285714285
1-Chlorohexane,CCCCCCCl,-3.12,1,,0.0,unique_keep,120.623,2.805500000000001,0.0,0,0,4,0,0,7,1.0
"2,2',3,3',4,4',5,5'-PCB",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16,1,,0.0,unique_keep,429.77200000000016,8.580799999999998,0.0,0,0,1,2,2,20,0.0
Raffinose,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41,1,,0.0,unique_keep,504.43800000000005,-7.571399999999989,268.67999999999995,11,16,8,3,0,34,1.0
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,1,,0.0,unique_keep,366.7180000000002,10.388599999999993,0.0,0,0,23,0,0,26,1.0
RTI 5,CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324,1,,0.0,unique_keep,253.30499999999995,2.829600000000001,36.44,0,3,1,3,2,19,0.2
"1,1-Dichloroethane",CC(Cl)Cl,-1.29,1,,0.0,unique_keep,98.96000000000001,1.81,0.0,0,0,0,0,0,4,1.0
Sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1,-1.34,1,,0.0,unique_keep,172.20900000000003,-0.08380000000000004,86.18,2,3,1,1,1,11,0.0
Isopropalin,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49,1,,0.0,unique_keep,309.36600000000004,4.252800000000004,89.52,0,5,8,1,1,22,0.6
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,1,,0.0,unique_keep,290.832,3.644400000000001,0.0,0,0,0,1,0,12,1.0
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,1,,0.0,unique_keep,345.4010000000002,3.8896000000000033,56.790000000000006,1,5,8,1,1,22,0.5333333333333333
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,-4.0,1,,0.0,unique_keep,181.44899999999998,3.6468000000000007,0.0,0,0,0,1,1,9,0.0
Tetrachloromethane,ClC(Cl)(Cl)Cl,-2.31,1,,0.0,unique_keep,153.823,2.5529,0.0,0,0,0,0,0,5,1.0
"3,4-Dichloronitrobenzene",O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2,1,,0.0,unique_keep,192.00099999999998,2.901600000000001,43.14,0,2,1,1,1,11,0.0
Cyclooctanol,OC1CCCCCCC1,-1.29,1,,0.0,unique_keep,128.215,2.0915999999999997,20.23,1,1,0,1,0,9,1.0
17a-Methyltestosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.999,1,,0.0,unique_keep,302.458,4.269300000000005,37.3,1,2,0,4,0,22,0.85
Dulcin,CCOc1ccc(NC(N)=O)cc1,-2.17,1,,0.0,unique_keep,180.20699999999997,1.5758999999999999,64.35,2,2,3,1,1,13,0.2222222222222222
"trans-1,4-Dimethylcyclohexane",CC1CCC(C)CC1,-4.47,1,,0.0,unique_keep,112.216,2.832600000000001,0.0,0,0,0,1,0,8,1.0
"1,7-phenantroline",c1cnc2c(c1)ccc1ncccc12,-2.68,1,,0.0,unique_keep,180.20999999999998,2.7830000000000004,25.78,0,2,0,3,3,14,0.0
Methyl t-butyl ether ,COC(C)(C)C,-0.24,1,,0.0,unique_keep,88.14999999999999,1.4313,9.23,0,1,0,0,0,6,1.0
