compound_ids,original_smiles,canonical_smiles,measured_logS,replicate_n,replicate_std,replicate_range,curation_action
Diosgenin,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,CC1COC2CC3(C)C(CC4C5C=C6CC(O)CCC6(C)CC5CCC43C)OC2C1,-7.32,1,,0.0,unique_keep
o-Aminophenol,Nc1ccccc1O,Nc1ccccc1O,-0.72,1,,0.0,unique_keep
Ethyl nonanoate,CCCCCCCCC(=O)OCC,CCCCCCCCC(=O)OCC,-3.8,1,,0.0,unique_keep
metalaxyl,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.601,1,,0.0,unique_keep
Propoxur,CNC(=O)Oc1ccccc1OC(C)C,CNC(=O)Oc1ccccc1OC(C)C,-2.05,1,,0.0,unique_keep
2-Chlorobutane,CCC(C)Cl,CCC(C)Cl,-1.96,1,,0.0,unique_keep
2-Napthol,Oc1ccc2ccccc2c1,Oc1ccc2ccccc2c1,-2.28,1,,0.0,unique_keep
Oxadiazon,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.696000000000001,1,,0.0,unique_keep
1-Hexyne ,CCCCC#C,C#CCCCC,-2.36,1,,0.0,unique_keep
1-Nonyne ,CCCCCCCC#C,C#CCCCCCCC,-4.24,1,,0.0,unique_keep
2-Chlorotoluene,Cc1ccccc1Cl,Cc1ccccc1Cl,-3.52,1,,0.0,unique_keep
Diisopropyl ether ,CC(C)OC(C)C,CC(C)OC(C)C,-1.1,1,,0.0,unique_keep
Dapsone,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-3.094,1,,0.0,unique_keep
Methyl hydrazine,CNN,CNN,1.34,1,,0.0,unique_keep
Propyne,CC#C,C#CC,-0.41,1,,0.0,unique_keep
Phoxim,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,1,,0.0,unique_keep
Propetamphos,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,1,,0.0,unique_keep
Acrolein,C=CC=O,C=CC=O,0.57,1,,0.0,unique_keep
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12 ,O=c1[nH]cnc2nc[nH]c12,-2.296,1,,0.0,unique_keep
6-hydroxyquinoline,Oc2ccc1ncccc1c2 ,Oc1ccc2ncccc2c1,-2.16,1,,0.0,unique_keep
Fluorobenzene,Fc1ccccc1,Fc1ccccc1,-1.8,1,,0.0,unique_keep
1-Chloropropane,CCCCl,CCCCl,-1.47,1,,0.0,unique_keep
Ethyl acetate,CCOC(=O)C,CCOC(C)=O,-0.04,1,,0.0,unique_keep
"2,2-Dimethylpentane",CCCC(C)(C)C,CCCC(C)(C)C,-4.36,1,,0.0,unique_keep
Pentamethylbenzene,Cc1cc(C)c(C)c(C)c1C,Cc1cc(C)c(C)c(C)c1C,-4.0,1,,0.0,unique_keep
"eucalyptol|1,8-Cineole",CC12CCC(CC1)C(C)(C)O2 |CC12CCC(CC1)C(C)(C)O2,CC12CCC(CC1)C(C)(C)O2,-1.69,2,0.07071067811865482,0.10000000000000009,duplicate_aggregated
dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,1,,0.0,unique_keep
"4,4'-PCB",Clc1ccc(cc1)c2ccc(Cl)cc2 ,Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56,1,,0.0,unique_keep
"2,3-Dimethylpyridine",Cc1cccnc1C,Cc1cccnc1C,0.38,1,,0.0,unique_keep
Carvone,CC(=C)C1CC=C(C)C(=O)C1,C=C(C)C1CC=C(C)C(=O)C1,-2.06,1,,0.0,unique_keep
Carbophenthion,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,1,,0.0,unique_keep
"Etoposide (148-167,25mg/ml)",COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,-3.571,1,,0.0,unique_keep
Perylene,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,1,,0.0,unique_keep
"2,4-Dinitrotoluene",Cc1ccc(cc1N(=O)=O)N(=O)=O,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-2.82,1,,0.0,unique_keep
2-bromonaphthalene|2-Bromonapthalene,c1c(Br)ccc2ccccc12 |Brc1ccc2ccccc2c1,Brc1ccc2ccccc2c1,-4.4,2,0.0,0.0,duplicate_aggregated
Formetanate,CNC(=O)Oc1cccc(N=CN(C)C)c1,CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,1,,0.0,unique_keep
6-methoxypteridine,COc2cnc1ncncc1n2,COc1cnc2ncncc2n1,-1.139,1,,0.0,unique_keep
nevirapine,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.19,1,,0.0,unique_keep
Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,-3.658,1,,0.0,unique_keep
"2-Methyl-1,3-Butadiene ",CC(=C)C=C,C=CC(=C)C,-2.03,1,,0.0,unique_keep
linalool,CC(C)=CCCC(O)(C)C=C,C=CC(C)(O)CCC=C(C)C,-1.99,1,,0.0,unique_keep
Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,1,,0.0,unique_keep
Cyclohexanol ,OC1CCCCC1,OC1CCCCC1,-0.44,1,,0.0,unique_keep
5-Allyl-5-methylbarbital,O=C1NC(=O)NC(=O)C1(C)CC=C,C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16,1,,0.0,unique_keep
Epiandrosterone|Androsterone,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O|CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.281000000000001,2,0.1711198410471445,0.242,duplicate_aggregated
4-Methylbiphenyl,Cc1ccc(cc1)c2ccccc2,Cc1ccc(-c2ccccc2)cc1,-4.62,1,,0.0,unique_keep
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,1,,0.0,unique_keep
Phenylthiourea,NC(=S)Nc1ccccc1,NC(=S)Nc1ccccc1,-1.77,1,,0.0,unique_keep
4-Heptanone,CCCC(=O)CCC,CCCC(=O)CCC,-1.3,1,,0.0,unique_keep
"3,3-Dimethyl-2-butanone",CC(=O)C(C)(C)C,CC(=O)C(C)(C)C,-0.72,1,,0.0,unique_keep
4-Chlorophenol ,Oc1ccc(Cl)cc1,Oc1ccc(Cl)cc1,-0.7,1,,0.0,unique_keep
Cyclohexanone,O=C1CCCCC1,O=C1CCCCC1,-0.6,1,,0.0,unique_keep
m-Methylaniline,Cc1cccc(N)c1,Cc1cccc(N)c1,-0.85,1,,0.0,unique_keep
Trichloroacetonitrile,ClC(Cl)(Cl)C#N,N#CC(Cl)(Cl)Cl,-2.168,1,,0.0,unique_keep
norflurazon,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,-4.046,1,,0.0,unique_keep
2-Decanone,CCCCCCCCC(=O)C,CCCCCCCCC(C)=O,-3.3,1,,0.0,unique_keep
Ipazine,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,1,,0.0,unique_keep
Benzocaine,CCOC(=O)c1ccc(N)cc1,CCOC(=O)c1ccc(N)cc1,-2.616,1,,0.0,unique_keep
"1,2,4-Trichlorobenzene",Clc1ccc(Cl)c(Cl)c1,Clc1ccc(Cl)c(Cl)c1,-3.59,1,,0.0,unique_keep
Triazolam,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,-4.09,1,,0.0,unique_keep
"1,2-Benzenediol",Oc1ccccc1O,Oc1ccccc1O,0.62,1,,0.0,unique_keep
Reverse Transcriptase inhibitor 1,CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,CCN1c2ncccc2C(=O)N(C)c2cccnc21,-2.62,1,,0.0,unique_keep
Dimethyl sulfide,CSC,CSC,-0.45,1,,0.0,unique_keep
2-Bromotoluene,Cc1ccccc1Br,Cc1ccccc1Br,-2.23,1,,0.0,unique_keep
O-Ethyl carbamate,CCOC(=O)N,CCOC(N)=O,0.85,1,,0.0,unique_keep
megestrol acetate,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,1,,0.0,unique_keep
"2,4-Dimethyl-3-pentanol",CC(C)C(O)C(C)C,CC(C)C(O)C(C)C,-1.22,1,,0.0,unique_keep
Napthalene,c1ccc2ccccc2c1,c1ccc2ccccc2c1,-3.6,1,,0.0,unique_keep
N-Ethylaniline,CCNc1ccccc1,CCNc1ccccc1,-1.7,1,,0.0,unique_keep
Phenytoin,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-4.097,1,,0.0,unique_keep
"7,12-Dimethylbenz(a)anthracene",Cc1c2ccccc2c(C)c3ccc4ccccc4c13,Cc1c2ccccc2c(C)c2c1ccc1ccccc12,-7.02,1,,0.0,unique_keep
Dialifor|Dialifos,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O|CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,2,0.0,0.0,duplicate_aggregated
Methoxychlor,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.89,1,,0.0,unique_keep
TEFLUBENZURON,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(F)c(Cl)c1F,-7.28,1,,0.0,unique_keep
3-Pentanoyloxymethylphenytoin,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.678,1,,0.0,unique_keep
Monuron,CN(C)C(=O)Nc1ccc(Cl)cc1,CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,1,,0.0,unique_keep
Flutriafol,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37,1,,0.0,unique_keep
triamcinolone diacetate,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,1,,0.0,unique_keep
1-Bromobutane,CCCCBr,CCCCBr,-2.37,1,,0.0,unique_keep
"1,2,4,5-Tetrabromobenzene",Brc1cc(Br)c(Br)cc1Br,Brc1cc(Br)c(Br)cc1Br,-6.98,1,,0.0,unique_keep
4-Methyl-2-pentanone,CC(C)CC(=O)C,CC(=O)CC(C)C,-0.74,1,,0.0,unique_keep
cycloate,CCSC(=O)N(CC)C1CCCCC1 ,CCSC(=O)N(CC)C1CCCCC1,-3.4,1,,0.0,unique_keep
4-Chloroanisole,COc1ccc(Cl)cc1,COc1ccc(Cl)cc1,-2.78,1,,0.0,unique_keep
Deltamethrin,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.402000000000001,1,,0.0,unique_keep
Talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,-2.016,1,,0.0,unique_keep
Fenitrothion,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.04,1,,0.0,unique_keep
1-Iodonapthalene,Ic1cccc2ccccc12,Ic1cccc2ccccc12,-4.55,1,,0.0,unique_keep
Ethanethiol,CCS,CCS,-0.6,1,,0.0,unique_keep
"1,1,2-Trichloroethane",ClCC(Cl)Cl,ClCC(Cl)Cl,-1.48,1,,0.0,unique_keep
Pyrolan,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09,1,,0.0,unique_keep
o-Hydroxybenzamide,NC(=O)c1ccccc1O,NC(=O)c1ccccc1O,-1.82,1,,0.0,unique_keep
o-Nitrotoluene,Cc1ccccc1N(=O)=O,Cc1ccccc1[N+](=O)[O-],-2.33,1,,0.0,unique_keep
"5,5-Diisopropylbarbital",O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O,-2.766,1,,0.0,unique_keep
2-Ethyltoluene,CCc1ccccc1C,CCc1ccccc1C,-3.21,1,,0.0,unique_keep
1-Chloroheptane,CCCCCCCCl,CCCCCCCCl,-4.0,1,,0.0,unique_keep
Barbital,O=C1NC(=O)NC(=O)C1(CC)CC,CCC1(CC)C(=O)NC(=O)NC1=O,-2.4,1,,0.0,unique_keep
Bibenzyl ,C(Cc1ccccc1)c2ccccc2,c1ccc(CCc2ccccc2)cc1,-4.62,1,,0.0,unique_keep
"1,1,2,2-Tetrachloroethane",ClC(Cl)C(Cl)Cl,ClC(Cl)C(Cl)Cl,-1.74,1,,0.0,unique_keep
RTI 23,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21,-5.153,1,,0.0,unique_keep
2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,Cc1ccc2c(ccc3ccccc32)c1,-5.84,1,,0.0,unique_keep
dibutylphthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC ,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.4,1,,0.0,unique_keep
tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02,1,,0.0,unique_keep
Dimecron,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523,1,,0.0,unique_keep
Equilin,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O,-5.282,1,,0.0,unique_keep
Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(OC)n1,-4.5760000000000005,1,,0.0,unique_keep
p-Nitroanisole,COc1ccc(cc1)N(=O)=O,COc1ccc([N+](=O)[O-])cc1,-2.41,1,,0.0,unique_keep
1-Chlorohexane,CCCCCCCl,CCCCCCCl,-3.12,1,,0.0,unique_keep
"2,2',3,3',4,4',5,5'-PCB",Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,-9.16,1,,0.0,unique_keep
Raffinose,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41,1,,0.0,unique_keep
hexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,1,,0.0,unique_keep
RTI 5,CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,CCN1c2ccccc2N(C)C(=O)c2cccnc21,-3.324,1,,0.0,unique_keep
"1,1-Dichloroethane",CC(Cl)Cl,CC(Cl)Cl,-1.29,1,,0.0,unique_keep
Sulfanilamide,Nc1ccc(cc1)S(N)(=O)=O,Nc1ccc(S(N)(=O)=O)cc1,-1.34,1,,0.0,unique_keep
Isopropalin,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.49,1,,0.0,unique_keep
Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,1,,0.0,unique_keep
Isofenphos,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,1,,0.0,unique_keep
"1,2,3-Trichlorobenzene",Clc1cccc(Cl)c1Cl,Clc1cccc(Cl)c1Cl,-4.0,1,,0.0,unique_keep
Tetrachloromethane,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,-2.31,1,,0.0,unique_keep
"3,4-Dichloronitrobenzene",O=N(=O)c1cc(Cl)c(Cl)cc1,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2,1,,0.0,unique_keep
Cyclooctanol,OC1CCCCCCC1,OC1CCCCCCC1,-1.29,1,,0.0,unique_keep
17a-Methyltestosterone,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.999,1,,0.0,unique_keep
Dulcin,CCOc1ccc(NC(N)=O)cc1,CCOc1ccc(NC(N)=O)cc1,-2.17,1,,0.0,unique_keep
"trans-1,4-Dimethylcyclohexane",C/C1CCC(\C)CC1,CC1CCC(C)CC1,-4.47,1,,0.0,unique_keep
"1,7-phenantroline",c1cnc2c(c1)ccc3ncccc23,c1cnc2c(c1)ccc1ncccc12,-2.68,1,,0.0,unique_keep
Methyl t-butyl ether ,COC(C)(C)C,COC(C)(C)C,-0.24,1,,0.0,unique_keep
Anethole,COc1ccc(C=CC)cc1,CC=Cc1ccc(OC)cc1,-3.13,1,,0.0,unique_keep
1-Hexadecanol,CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCO,-7.0,1,,0.0,unique_keep
uracil,O=c1cc[nH]c(=O)[nH]1 ,O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002,1,,0.0,unique_keep
adenine,Nc1ncnc2nc[nH]c12 ,Nc1ncnc2nc[nH]c12,-2.12,1,,0.0,unique_keep
"2,2',3,4,5-PCB",Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl,-7.21,1,,0.0,unique_keep
Ancymidol,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.596,1,,0.0,unique_keep
Benzo(b)fluoranthene,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23,1,,0.0,unique_keep
Carbanilide,O=C(Nc1ccccc1)Nc2ccccc2,O=C(Nc1ccccc1)Nc1ccccc1,-3.15,1,,0.0,unique_keep
phenobarbital|5-Ethyl-5-phenylbarbital,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 |O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.322,2,0.0,0.0,duplicate_aggregated
"2',3,4-PCB",Clc1ccc(cc1)c2cccc(Cl)c2Cl ,Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.29,1,,0.0,unique_keep
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,1,,0.0,unique_keep
Azintamide,CCN(CC)C(=O)CSc1ccc(Cl)nn1,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,1,,0.0,unique_keep
"2,2-Dimethyl-1-butanol",CCC(C)(C)CO,CCC(C)(C)CO,-1.04,1,,0.0,unique_keep
Ethyl pentanoate,CCCOC(=O)CCC,CCCOC(=O)CCC,-1.75,1,,0.0,unique_keep
"2,4,6-Trinitrotoluene",Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-3.22,1,,0.0,unique_keep
Bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,1,,0.0,unique_keep
Cycloheptane,C1CCCCCC1,C1CCCCCC1,-3.51,1,,0.0,unique_keep
Propyl formate,CCCOC=O,CCCOC=O,-0.49,1,,0.0,unique_keep
2-Isopropyltoluene,CC(C)c1ccccc1C,Cc1ccccc1C(C)C,-3.76,1,,0.0,unique_keep
m-Chloroaniline,Nc1cccc(Cl)c1,Nc1cccc(Cl)c1,-1.37,1,,0.0,unique_keep
"2,4-Dimethylpentane",CC(C)CC(C)C,CC(C)CC(C)C,-4.26,1,,0.0,unique_keep
Dibenzofurane,o1c2ccccc2c3ccccc13,c1ccc2c(c1)oc1ccccc12,-4.6,1,,0.0,unique_keep
ethofumesate,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,-3.42,1,,0.0,unique_keep
Fluometuron,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,-3.43,1,,0.0,unique_keep
Acridine,c3ccc2nc1ccccc1cc2c3,c1ccc2nc3ccccc3cc2c1,-3.67,1,,0.0,unique_keep
Cortisone,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,-3.11,1,,0.0,unique_keep
glucose,OCC1OC(O)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,0.74,1,,0.0,unique_keep
3-Methylphenol,Cc1cccc(O)c1,Cc1cccc(O)c1,-0.68,1,,0.0,unique_keep
Indapamide,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,-3.5860000000000003,1,,0.0,unique_keep
Lovastatin,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,-6.005,1,,0.0,unique_keep
"1,4-Dinitrobenzene",O=N(=O)c1ccc(cc1)N(=O)=O,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-3.39,1,,0.0,unique_keep
Reposal,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,CCC1(C2=CCC3CCC2C3)C(=O)NC(=O)NC1=O,-2.696,1,,0.0,unique_keep
Ethyl decanoate,CCCCCCCCCC(=O)OCC,CCCCCCCCCC(=O)OCC,-4.1,1,,0.0,unique_keep
Fenuron,CN(C)C(=O)Nc1ccccc1,CN(C)C(=O)Nc1ccccc1,-1.6,1,,0.0,unique_keep
Ethyl propyl ether,CCCOCC,CCCOCC,-0.66,1,,0.0,unique_keep
2-Propanol,CC(C)O,CC(C)O,0.43,1,,0.0,unique_keep
2-Methylnapthalene,Cc1ccc2ccccc2c1,Cc1ccc2ccccc2c1,-3.77,1,,0.0,unique_keep
Chlorodibromethane,ClC(Br)Br,ClC(Br)Br,-1.9,1,,0.0,unique_keep
Hexestrol,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,-4.43,1,,0.0,unique_keep
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,1,,0.0,unique_keep
Benzylchloride,ClCc1ccccc1,ClCc1ccccc1,-2.39,1,,0.0,unique_keep
t-Crotonaldehyde,C/C=C/C=O,C/C=C/C=O,0.32,1,,0.0,unique_keep
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,1,,0.0,unique_keep
"9,10-Dimethylanthracene",Cc1c2ccccc2c(C)c3ccccc13,Cc1c2ccccc2c(C)c2ccccc12,-6.57,1,,0.0,unique_keep
Methyl hexanoate,CCCCCC(=O)OC,CCCCCC(=O)OC,-1.87,1,,0.0,unique_keep
Dimefuron,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,CN(C)C(=O)Nc1ccc(-n2nc(C(C)(C)C)oc2=O)c(Cl)c1,-4.328,1,,0.0,unique_keep
p-Fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,CC(=O)Nc1ccc(F)cc1,-1.78,1,,0.0,unique_keep
alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl ,CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,1,,0.0,unique_keep
Cyclohexene,C1CCC=CC1,C1=CCCCC1,-2.59,1,,0.0,unique_keep
Hydrocortisone ,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09,1,,0.0,unique_keep
Pyrimidine,c1cncnc1,c1cncnc1,1.1,1,,0.0,unique_keep
p-Chloronitrobenzene,Clc1ccc(cc1)N(=O)=O,O=[N+]([O-])c1ccc(Cl)cc1,-2.92,1,,0.0,unique_keep
Methyl propionate,CCC(=O)OC,CCC(=O)OC,-0.14,1,,0.0,unique_keep
o-Chloronitrobenzene,Clc1ccccc1N(=O)=O,O=[N+]([O-])c1ccccc1Cl,-2.55,1,,0.0,unique_keep
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,1,,0.0,unique_keep
Buthidazole,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,CN1CC(O)N(c2nnc(C(C)(C)C)s2)C1=O,-1.877,1,,0.0,unique_keep
